A24x8
-----
References
^^^^^^^^^^
| V Fishman, E Semidalas, M Shepelenko, JML Martin, Journal of Computational Chemistry 46 (1), e70006: https://doi.org/10.1002/jcc.70007

Molecules
^^^^^^^^^
01-water_ammonia_0@90re, energy = 0.009253216840015455
01-water_ammonia_0@95re, energy = 0.010142055637992087
01-water_ammonia_1@00re, energy = 0.010359582063010464
01-water_ammonia_1@05re, energy = 0.010156505518004622
01-water_ammonia_1@10re, energy = 0.009691485219001095
01-water_ammonia_1@25re, energy = 0.0077261141649884735
01-water_ammonia_1@50re, energy = 0.004754129994999801
01-water_ammonia_2@00re, energy = 0.0018579941780032527
01-water_ammonia_monomerA, energy = 0.0
01-water_ammonia_monomerB, energy = 0.0
02-water_water_0@90re, energy = 0.007085204383983523
02-water_water_0@95re, energy = 0.007822973094008034
02-water_water_1@00re, energy = 0.007999662943987573
02-water_water_1@05re, energy = 0.007827798571995004
02-water_water_1@10re, energy = 0.007451227111985759
02-water_water_1@25re, energy = 0.0058881000120010185
02-water_water_1@50re, energy = 0.003631583845006503
02-water_water_2@00re, energy = 0.001491961973002276
02-water_water_monomerA, energy = 0.0
02-water_water_monomerB, energy = 0.0
03-HCN_HCN_0@90re, energy = 0.0067747721519992865
03-HCN_HCN_0@95re, energy = 0.0074299193289846235
03-HCN_HCN_1@00re, energy = 0.007582699183984687
03-HCN_HCN_1@05re, energy = 0.0074248210949861004
03-HCN_HCN_1@10re, energy = 0.007093845229007911
03-HCN_HCN_1@25re, energy = 0.0057367497809934775
03-HCN_HCN_1@50re, energy = 0.003785863541992285
03-HCN_HCN_2@00re, energy = 0.0018543164459856598
03-HCN_HCN_monomerA, energy = 0.0
03-HCN_HCN_monomerB, energy = 0.0
04-HF_HF_0@90re, energy = 0.006474060907024182
04-HF_HF_0@95re, energy = 0.007177555062000351
04-HF_HF_1@00re, energy = 0.007340173803001449
04-HF_HF_1@05re, energy = 0.007173883035008544
04-HF_HF_1@10re, energy = 0.006823627717025715
04-HF_HF_1@25re, energy = 0.00539329150400647
04-HF_HF_1@50re, energy = 0.0033576530019985285
04-HF_HF_2@00re, energy = 0.0014266731340200067
04-HF_HF_monomerA, energy = 0.0
04-HF_HF_monomerB, energy = 0.0
05-NH3_NH3_0@90re, energy = 0.004421318458000201
05-NH3_NH3_0@95re, energy = 0.004871530274002112
05-NH3_NH3_1@00re, energy = 0.0049909319180017064
05-NH3_NH3_1@05re, energy = 0.004890723971001876
05-NH3_NH3_1@10re, energy = 0.0046571034390012755
05-NH3_NH3_1@25re, energy = 0.0036338189100035834
05-NH3_NH3_1@50re, energy = 0.002072883644004264
05-NH3_NH3_2@00re, energy = 0.0005932958130046018
05-NH3_NH3_monomerA, energy = 0.0
05-NH3_NH3_monomerB, energy = 0.0
06-methane_HF_0@90re, energy = 0.0020887766739861036
06-methane_HF_0@95re, energy = 0.0025506279060039105
06-methane_HF_1@00re, energy = 0.002654194998001458
06-methane_HF_1@05re, energy = 0.0025568858339966027
06-methane_HF_1@10re, energy = 0.002356717489988114
06-methane_HF_1@25re, energy = 0.001622890912983621
06-methane_HF_1@50re, energy = 0.0007708032709956569
06-methane_HF_2@00re, energy = 0.0002005340780044662
06-methane_HF_monomerA, energy = 0.0
06-methane_HF_monomerB, energy = 0.0
07-NH3_CH4_0@90re, energy = 0.000904415297007688
07-NH3_CH4_0@95re, energy = 0.001152631846998986
07-NH3_CH4_1@00re, energy = 0.001214568062003707
07-NH3_CH4_1@05re, energy = 0.0011740575899992223
07-NH3_CH4_1@10re, energy = 0.0010820991580047234
07-NH3_CH4_1@25re, energy = 0.0007375527530015802
